               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.017932,           0.0058617,           0.0036739,             0.95379,             0.92915,             0.95164,             0.73875,            0.015475,           0.0026295,           0.0053203,             0.00406,             0.00406,             0.00406
                 122,            0.017592,           0.0057261,           0.0034366,             0.95393,             0.92916,             0.95197,             0.73786,            0.015466,           0.0026291,           0.0053161,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017855,           0.0058399,           0.0036536,             0.95061,             0.93196,             0.95187,             0.73812,            0.015459,           0.0026292,            0.005323,            0.003961,            0.003961,            0.003961
                 124,            0.017952,           0.0058171,            0.003542,              0.9478,             0.93036,             0.95197,             0.73873,            0.015454,           0.0026288,           0.0053322,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018057,           0.0058163,           0.0035742,             0.95632,             0.92574,             0.95202,             0.73733,            0.015453,           0.0026286,           0.0053345,            0.003862,            0.003862,            0.003862
                 126,            0.017449,           0.0057097,           0.0035464,             0.95351,             0.92466,             0.95234,             0.73802,            0.015448,           0.0026281,           0.0053403,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01751,           0.0056585,              0.0033,             0.95332,             0.92435,             0.95242,             0.73786,            0.015445,            0.002628,           0.0053368,            0.003763,            0.003763,            0.003763
                 128,            0.017316,           0.0055301,           0.0031455,             0.95837,             0.92563,             0.95255,             0.73862,            0.015442,           0.0026273,           0.0053412,           0.0037135,           0.0037135,           0.0037135
                 129,            0.016979,            0.005628,           0.0031447,             0.95794,              0.9242,             0.95271,             0.73921,            0.015439,           0.0026263,           0.0053523,            0.003664,            0.003664,            0.003664
                 130,            0.017139,           0.0055757,           0.0031764,             0.95669,             0.92456,             0.95292,             0.73868,            0.015439,           0.0026259,           0.0053631,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016958,             0.00572,           0.0034479,             0.95668,             0.92449,             0.95299,              0.7377,            0.015433,           0.0026254,           0.0053721,            0.003565,            0.003565,            0.003565
                 132,            0.017117,           0.0055674,           0.0032807,             0.95694,             0.92448,              0.9531,              0.7383,            0.015434,           0.0026252,           0.0053767,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016984,           0.0055625,           0.0036075,             0.95658,              0.9245,             0.95319,             0.73861,            0.015441,           0.0026257,           0.0053756,            0.003466,            0.003466,            0.003466
                 134,             0.01719,           0.0054843,            0.003013,             0.95641,             0.92445,             0.95326,             0.73851,            0.015455,           0.0026261,           0.0053771,           0.0034165,           0.0034165,           0.0034165
                 135,             0.01687,           0.0054489,           0.0030408,             0.95669,             0.92442,             0.95317,             0.73919,            0.015462,           0.0026262,            0.005384,            0.003367,            0.003367,            0.003367
                 136,            0.016891,           0.0054901,           0.0031149,             0.95683,              0.9244,             0.95324,              0.7388,            0.015461,           0.0026272,           0.0053864,           0.0033175,           0.0033175,           0.0033175
                 137,            0.016814,           0.0055128,           0.0032782,             0.95714,             0.92436,             0.95331,             0.73924,             0.01546,           0.0026286,            0.005385,            0.003268,            0.003268,            0.003268
                 138,            0.016682,           0.0053652,           0.0030198,              0.9556,             0.92495,             0.95327,              0.7392,            0.015466,           0.0026292,           0.0053871,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016677,            0.005406,             0.00299,             0.94412,             0.93263,             0.95196,             0.73843,             0.01547,           0.0026305,           0.0053827,            0.003169,            0.003169,            0.003169
                 140,            0.016472,           0.0054015,           0.0028655,             0.94417,             0.93267,             0.95219,             0.73964,            0.015464,           0.0026311,           0.0053766,           0.0031195,           0.0031195,           0.0031195
                 141,            0.016274,           0.0053262,           0.0030523,             0.94414,             0.93402,             0.95363,             0.73909,            0.015465,           0.0026315,           0.0053643,             0.00307,             0.00307,             0.00307
                 142,            0.016076,           0.0052847,           0.0026942,             0.94427,              0.9339,             0.95377,             0.73874,            0.015465,           0.0026322,           0.0053551,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016542,           0.0053463,           0.0029688,             0.94426,             0.93636,             0.95382,             0.73784,            0.015459,           0.0026322,           0.0053475,            0.002971,            0.002971,            0.002971
                 144,            0.016394,           0.0053068,           0.0029318,              0.9444,             0.93786,             0.95406,              0.7392,            0.015454,           0.0026325,           0.0053389,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016519,           0.0054039,             0.00305,             0.94455,             0.93708,             0.95433,             0.73913,            0.015451,           0.0026329,           0.0053401,            0.002872,            0.002872,            0.002872
                 146,            0.016334,            0.005242,           0.0029237,             0.94454,             0.93705,             0.95423,             0.73931,            0.015453,           0.0026331,           0.0053422,           0.0028225,           0.0028225,           0.0028225
                 147,              0.0159,           0.0051911,           0.0027212,             0.94453,             0.93712,              0.9542,             0.73986,            0.015456,           0.0026339,           0.0053485,            0.002773,            0.002773,            0.002773
