                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.86813,                0.70329,                 1.2731,                0.95154,                0.93096,                0.95438,                0.70398,                 1.0648,                0.56113,                 1.3635,                0.00472,                0.00472,                0.00472
                     83,                0.86769,                0.69892,                 1.2702,                0.94869,                0.93397,                 0.9545,                0.70393,                  1.064,                0.56084,                  1.363,               0.004654,               0.004654,               0.004654
                     84,                0.86493,                0.69294,                 1.2698,                0.94794,                0.93243,                0.95455,                0.70499,                 1.0643,                0.55813,                 1.3628,               0.004588,               0.004588,               0.004588
                     85,                0.86019,                0.69437,                 1.2628,                0.94816,                0.93277,                0.95474,                0.70435,                 1.0643,                0.55812,                 1.3626,               0.004522,               0.004522,               0.004522
                     86,                0.85303,                0.68674,                 1.2591,                0.94853,                0.92961,                0.95513,                0.70397,                 1.0635,                 0.5575,                 1.3617,               0.004456,               0.004456,               0.004456
                     87,                0.84891,                0.68294,                 1.2543,                0.94889,                0.93243,                0.95525,                0.70447,                 1.0633,                 0.5561,                 1.3612,                0.00439,                0.00439,                0.00439
                     88,                0.85032,                0.67822,                 1.2556,                0.94802,                0.93243,                 0.9557,                0.70357,                 1.0633,                0.55706,                  1.362,               0.004324,               0.004324,               0.004324
                     89,                0.84084,                 0.6722,                 1.2495,                0.94852,                0.93211,                 0.9556,                0.70334,                 1.0643,                0.55622,                 1.3626,               0.004258,               0.004258,               0.004258
                     90,                0.84558,                0.67505,                 1.2507,                 0.9523,                0.93202,                0.95506,                0.70552,                 1.0642,                0.55635,                 1.3623,               0.004192,               0.004192,               0.004192
                     91,                0.84025,                0.66192,                 1.2455,                0.95514,                0.92829,                0.95598,                0.70677,                 1.0629,                0.55799,                 1.3618,               0.004126,               0.004126,               0.004126
                     92,                0.82892,                0.66404,                 1.2362,                0.95512,                0.92787,                0.95571,                0.70506,                 1.0612,                0.55607,                 1.3605,                0.00406,                0.00406,                0.00406
                     93,                0.83248,                0.65972,                 1.2382,                0.95518,                0.92909,                0.95633,                0.70684,                 1.0598,                0.55529,                 1.3595,               0.003994,               0.003994,               0.003994
                     94,                0.82797,                0.65633,                 1.2302,                0.95515,                0.92859,                 0.9566,                0.70616,                 1.0588,                0.55458,                 1.3591,               0.003928,               0.003928,               0.003928
                     95,                0.81883,                0.65061,                 1.2296,                0.95609,                  0.928,                0.95622,                 0.7055,                 1.0575,                0.55371,                 1.3578,               0.003862,               0.003862,               0.003862
                     96,                0.82292,                0.64618,                 1.2241,                0.95618,                0.92781,                0.95646,                0.70532,                 1.0572,                0.55457,                  1.358,               0.003796,               0.003796,               0.003796
                     97,                0.82301,                0.65071,                 1.2326,                0.95662,                0.92811,                0.95643,                0.70566,                 1.0566,                 0.5555,                 1.3583,                0.00373,                0.00373,                0.00373
                     98,                0.82072,                0.65217,                 1.2308,                0.95511,                0.92821,                0.95675,                0.70696,                 1.0557,                0.55513,                 1.3577,               0.003664,               0.003664,               0.003664
                     99,                 0.8113,                0.63715,                 1.2192,                 0.9538,                0.93251,                0.95688,                0.70538,                 1.0545,                0.55633,                 1.3569,               0.003598,               0.003598,               0.003598
                    100,                0.80805,                0.63525,                 1.2133,                0.95463,                0.93212,                0.95706,                0.70579,                 1.0529,                0.55547,                 1.3554,               0.003532,               0.003532,               0.003532
                    101,                0.80614,                0.62865,                 1.2202,                0.95277,                0.93016,                0.95723,                0.70755,                 1.0519,                0.55524,                 1.3545,               0.003466,               0.003466,               0.003466
                    102,                0.80725,                0.62856,                 1.2121,                0.95242,                0.93016,                0.95721,                0.70771,                 1.0514,                0.55509,                 1.3534,                 0.0034,                 0.0034,                 0.0034
                    103,                0.79879,                0.63174,                 1.2065,                0.95268,                0.93007,                0.95741,                0.70757,                 1.0503,                0.55322,                 1.3522,               0.003334,               0.003334,               0.003334
                    104,                0.79448,                0.62381,                 1.2144,                 0.9525,                0.92995,                0.95702,                0.70921,                 1.0486,                0.55233,                 1.3511,               0.003268,               0.003268,               0.003268
                    105,                 0.7916,                0.61746,                 1.2036,                0.95257,                0.93266,                0.95699,                0.71034,                 1.0466,                0.55099,                 1.3494,               0.003202,               0.003202,               0.003202
                    106,                0.79078,                0.61131,                 1.2051,                0.95201,                0.93237,                0.95716,                 0.7091,                 1.0462,                0.55043,                 1.3496,               0.003136,               0.003136,               0.003136
                    107,                 0.7961,                0.61865,                 1.2065,                0.95204,                0.93327,                0.95728,                0.70806,                 1.0474,                0.55228,                 1.3495,                0.00307,                0.00307,                0.00307
                    108,                0.77715,                0.59804,                 1.1948,                0.95208,                0.93339,                0.95758,                0.70908,                  1.047,                0.55219,                 1.3497,               0.003004,               0.003004,               0.003004
                    109,                0.77772,                0.60287,                 1.1896,                0.95053,                0.93426,                0.95729,                0.70809,                 1.0461,                0.55033,                 1.3489,               0.002938,               0.002938,               0.002938
                    110,                0.77399,                0.59138,                 1.1908,                0.95478,                0.92836,                0.95753,                0.70877,                  1.046,                0.54969,                 1.3491,               0.002872,               0.002872,               0.002872
                    111,                 0.7759,                0.60488,                 1.1941,                0.95881,                0.92823,                0.95747,                0.70945,                 1.0458,                0.54788,                 1.3491,               0.002806,               0.002806,               0.002806
                    112,                0.77218,                0.60132,                  1.184,                 0.9598,                0.92826,                0.95767,                0.70928,                  1.045,                0.54691,                 1.3488,                0.00274,                0.00274,                0.00274
                    113,                0.77407,                0.59366,                 1.1863,                0.96068,                0.92817,                0.95768,                0.71011,                 1.0447,                0.54727,                 1.3487,               0.002674,               0.002674,               0.002674
                    114,                0.76521,                0.58448,                 1.1804,                0.96027,                0.92815,                0.95779,                0.71016,                 1.0439,                0.54683,                 1.3485,               0.002608,               0.002608,               0.002608
                    115,                0.76582,                0.58509,                   1.18,                 0.9602,                0.92823,                0.95783,                0.71023,                 1.0433,                0.54719,                 1.3483,               0.002542,               0.002542,               0.002542
                    116,                0.75904,                0.57631,                 1.1725,                0.95979,                0.92826,                0.95759,                0.70982,                 1.0428,                0.54659,                 1.3475,               0.002476,               0.002476,               0.002476
                    117,                0.76147,                0.58894,                 1.1768,                0.96213,                0.92826,                0.95825,                 0.7101,                 1.0416,                0.54585,                 1.3463,                0.00241,                0.00241,                0.00241
                    118,                0.75381,                0.57253,                   1.17,                0.96054,                0.92871,                0.95812,                0.71021,                 1.0421,                0.54443,                 1.3459,               0.002344,               0.002344,               0.002344
                    119,                0.74233,                0.57255,                 1.1628,                0.96333,                0.92874,                0.95831,                0.71115,                 1.0418,                0.54323,                  1.345,               0.002278,               0.002278,               0.002278
                    120,                0.74544,                0.56858,                 1.1667,                0.96285,                 0.9288,                 0.9583,                0.71141,                 1.0408,                 0.5415,                 1.3443,               0.002212,               0.002212,               0.002212
                    121,                 0.7453,                0.56958,                 1.1657,                0.96278,                 0.9288,                0.95819,                0.71211,                 1.0401,                0.54071,                 1.3438,               0.002146,               0.002146,               0.002146
                    122,                  0.743,                0.56167,                 1.1651,                 0.9667,                0.92857,                0.95842,                0.71295,                 1.0402,                0.53974,                 1.3437,                0.00208,                0.00208,                0.00208
                    123,                0.73891,                0.55609,                 1.1617,                0.96691,                0.92853,                0.95836,                0.71397,                 1.0394,                0.53955,                 1.3437,               0.002014,               0.002014,               0.002014
                    124,                0.73802,                0.55425,                 1.1607,                0.96979,                0.92835,                0.95859,                0.71441,                 1.0398,                0.54079,                 1.3441,               0.001948,               0.001948,               0.001948
                    125,                0.73143,                0.54688,                 1.1565,                0.96868,                 0.9283,                0.95855,                0.71444,                 1.0398,                0.54112,                 1.3428,               0.001882,               0.001882,               0.001882
                    126,                0.72099,                0.54035,                 1.1482,                0.96795,                0.92829,                0.95789,                0.71419,                 1.0399,                 0.5397,                 1.3428,               0.001816,               0.001816,               0.001816
                    127,                0.72253,                0.54596,                 1.1516,                0.96731,                0.92826,                0.95814,                0.71414,                   1.04,                0.53995,                 1.3428,                0.00175,                0.00175,                0.00175
                    128,                0.72006,                0.54293,                 1.1468,                0.96649,                0.92803,                0.95833,                0.71483,                 1.0392,                0.53877,                 1.3422,               0.001684,               0.001684,               0.001684
                    129,                0.71397,                0.53033,                 1.1408,                0.96543,                0.92767,                0.95787,                0.71466,                 1.0378,                0.53722,                 1.3411,               0.001618,               0.001618,               0.001618
                    130,                0.71517,                0.53387,                  1.143,                0.96406,                0.92729,                0.95804,                0.71344,                 1.0377,                0.53777,                 1.3409,               0.001552,               0.001552,               0.001552
                    131,                0.70577,                0.52872,                 1.1348,                0.96248,                0.92756,                0.95795,                0.71363,                 1.0367,                0.53696,                 1.3401,               0.001486,               0.001486,               0.001486
                    132,                0.70758,                0.53148,                 1.1364,                0.96236,                0.92735,                0.95798,                 0.7136,                 1.0364,                0.53854,                 1.3396,                0.00142,                0.00142,                0.00142
                    133,                0.70011,                0.52826,                 1.1343,                0.96244,                0.92723,                0.95815,                0.71425,                  1.036,                0.53933,                 1.3394,               0.001354,               0.001354,               0.001354
                    134,                0.69659,                0.52326,                 1.1318,                0.96199,                0.92725,                0.95827,                0.71449,                 1.0346,                0.53956,                 1.3382,               0.001288,               0.001288,               0.001288
                    135,                0.69388,                0.52117,                 1.1323,                0.96217,                0.92709,                 0.9584,                0.71536,                 1.0336,                0.53968,                 1.3375,               0.001222,               0.001222,               0.001222
                    136,                0.69567,                0.51193,                 1.1295,                0.96241,                0.92696,                0.95869,                0.71426,                 1.0337,                0.53983,                 1.3376,               0.001156,               0.001156,               0.001156
                    137,                0.69374,                0.52099,                 1.1305,                0.96248,                0.92691,                0.95904,                0.71513,                 1.0334,                 0.5396,                 1.3375,                0.00109,                0.00109,                0.00109
                    138,                0.69131,                0.51088,                 1.1289,                0.96253,                0.92686,                 0.9591,                0.71583,                 1.0336,                0.53904,                 1.3379,               0.001024,               0.001024,               0.001024
                    139,                0.67801,                0.50423,                  1.119,                0.96265,                0.92682,                0.95947,                0.71604,                 1.0337,                0.53974,                 1.3378,               0.000958,               0.000958,               0.000958
